semana,llamadas,t,Segmento_normal_changepoint,Segmento_np
2016 W52,244,0,segmento1,segmento1
2017 W01,293,1,segmento1,segmento1
2017 W02,373,2,segmento1,segmento1
2017 W03,414,3,segmento1,segmento1
2017 W04,350,4,segmento1,segmento1
2017 W05,389,5,segmento1,segmento1
2017 W06,479,6,segmento1,segmento1
2017 W07,412,7,segmento1,segmento1
2017 W08,390,8,segmento1,segmento1
2017 W09,339,9,segmento1,segmento1
2017 W10,407,10,segmento1,segmento1
2017 W11,393,11,segmento1,segmento1
2017 W12,460,12,segmento1,segmento1
2017 W13,456,13,segmento1,segmento1
2017 W14,427,14,segmento1,segmento1
2017 W15,489,15,segmento1,segmento1
2017 W16,461,16,segmento1,segmento1
2017 W17,514,17,segmento1,segmento1
2017 W18,522,18,segmento2,segmento2
2017 W19,489,19,segmento2,segmento2
2017 W20,483,20,segmento2,segmento2
2017 W21,507,21,segmento2,segmento2
2017 W22,478,22,segmento2,segmento2
2017 W23,450,23,segmento2,segmento2
2017 W24,446,24,segmento2,segmento2
2017 W25,462,25,segmento2,segmento2
2017 W26,457,26,segmento2,segmento2
2017 W27,407,27,segmento2,segmento2
2017 W28,394,28,segmento2,segmento2
2017 W29,464,29,segmento2,segmento2
2017 W30,459,30,segmento2,segmento2
2017 W31,445,31,segmento2,segmento2
2017 W32,413,32,segmento2,segmento2
2017 W33,415,33,segmento2,segmento2
2017 W34,424,34,segmento2,segmento2
2017 W35,449,35,segmento2,segmento2
2017 W36,339,36,segmento3,segmento3
2017 W37,467,37,segmento3,segmento3
2017 W38,492,38,segmento3,segmento3
2017 W39,330,39,segmento3,segmento3
2017 W40,374,40,segmento3,segmento3
2017 W41,349,41,segmento3,segmento3
2017 W42,347,42,segmento3,segmento3
2017 W43,316,43,segmento3,segmento3
2017 W44,414,44,segmento3,segmento3
2017 W45,336,45,segmento3,segmento3
2017 W46,335,46,segmento3,segmento3
2017 W47,322,47,segmento3,segmento3
2017 W48,293,48,segmento3,segmento3
2017 W49,265,49,segmento3,segmento3
2017 W50,308,50,segmento3,segmento3
2017 W51,349,51,segmento3,segmento3
2017 W52,386,52,segmento3,segmento3
2018 W01,309,53,segmento3,segmento3
2018 W02,284,54,segmento3,segmento3
2018 W03,239,55,segmento3,segmento3
2018 W04,289,56,segmento3,segmento3
2018 W05,294,57,segmento3,segmento3
2018 W06,335,58,segmento3,segmento3
2018 W07,361,59,segmento3,segmento3
2018 W08,426,60,segmento3,segmento3
2018 W09,374,61,segmento3,segmento3
2018 W10,398,62,segmento3,segmento3
2018 W11,376,63,segmento3,segmento3
2018 W12,436,64,segmento3,segmento3
2018 W13,486,65,segmento3,segmento3
2018 W14,431,66,segmento3,segmento3
2018 W15,436,67,segmento3,segmento3
2018 W16,515,68,segmento3,segmento3
2018 W17,408,69,segmento3,segmento3
2018 W18,450,70,segmento3,segmento3
2018 W19,470,71,segmento3,segmento3
2018 W20,509,72,segmento3,segmento3
2018 W21,434,73,segmento3,segmento3
